amount_n,tx_type_enc,location_risk,hour_n,device_enc,freq_n,age_n,failed_n,is_new_device,odd_hour
0.232186814566789,0.25,0.2573052853007798,0.3808895107366189,0.25,0.12067784005761373,0.7765827093337028,0.051806569539969316,0.0,0.0
0.1316635319256157,1.0,0.19852399673779697,0.6477566203363712,0.5,0.18159153253467047,0.7689902091797363,0.035363392150358074,1.0,0.0
0.25757937597341474,0.0,0.11121368679842898,0.7101169121816879,0.0,0.07005052442920717,0.3621560248666594,0.007505583038802022,1.0,0.0
0.20921040871780916,0.25,0.23641875016507496,0.34998168581708466,0.5,0.02467596079038095,0.2293243161345897,0.09909719860358988,1.0,0.0
0.02825320436629486,1.0,0.07112022391926799,0.27631497005074956,0.25,0.1596179006631059,0.44303961744565545,0.017477372672504845,0.0,0.0
0.29268670549102677,1.0,0.24360445861219576,0.5137524251808032,0.25,0.14642797879495495,0.32570904388716065,0.025530847497604384,1.0,0.0
0.22834191059710587,0.25,0.19749630556075337,0.7144144515954622,0.0,0.11818849622135487,0.5166307833725552,0.023591576249461777,1.0,0.0
0.23581929158308612,0.75,0.0776875795991004,0.6404679013444856,0.25,0.1667616913512583,0.9834768953220834,0.09079414066857032,0.0,1.0
0.03843408980266376,0.0,0.06987639077309256,0.6711290322487548,0.0,0.17121518707666386,0.34485709672417675,0.07636883927235305,0.0,0.0
0.13511578136867014,0.0,0.2377090833591156,0.49170360399602103,0.5,0.1258225954432713,0.45509915473837514,0.04573297994393366,0.0,0.0
0.11123940726977437,0.25,0.1232339766259593,0.3909673271518419,0.5,0.19386700253370867,0.780091453055658,0.09554230339518592,1.0,0.0
0.27802949665458054,1.0,0.27232546269180335,0.5690673059707656,0.25,0.14954815057111892,0.6073462262895373,0.005278338078644174,1.0,0.0
0.19315953602419936,0.75,0.240518255257544,0.3726194162495181,0.5,0.1418375677092732,0.23514251485870796,0.08936703812216522,0.0,0.0
0.246828483981249,0.25,0.22454756117942903,0.6857372181910395,0.5,0.08505592266055619,0.3293520145290574,0.006042733568815917,1.0,0.0
0.13302425964819933,0.25,0.11965151315836274,0.3681798735756862,0.0,0.02040654414800138,0.9481996438185567,0.039113069593456375,1.0,0.0
0.06817161653543306,0.0,0.22723612975540447,0.4247579600286049,0.0,0.06336968130095205,0.28253199419122277,0.005400487837648971,1.0,1.0
0.16637543610475045,0.25,0.2870369211287085,0.5539268669938032,0.0,0.15750569122663338,0.7080742297677647,0.09989689917576854,1.0,0.0
